Company Name,Market Cap (crores),Share Price (rupees),Golden Cross Date
MRF LTD,68570.8017664,161680.0,2025-08-25
MRF LTD,68570.8017664,161680.0,2025-10-07
LIFE INSURA CORP OF INDIA,564253.0062336,892.1,2025-08-19
LIFE INSURA CORP OF INDIA,564253.0062336,892.1,2025-09-17
ENGINEERS INDIA LTD,11200.3801088,199.28,2025-09-03
SIEMENS LTD,111232.4571136,3102.9,2025-08-13
SIEMENS LTD,111232.4571136,3102.9,2025-09-08
MINDA CORPORATION LTD,13579.1484928,576.95,2025-08-21
MOTHERSON SUMI WRNG IND L,30877.0209792,46.56,2025-08-20
MULTI COMMODITY EXCHANGE,47484.6920704,9187.0,2025-08-14
MULTI COMMODITY EXCHANGE,47484.6920704,9187.0,2025-09-18
BANK OF MAHARASHTRA,46172.4024832,60.03,2025-09-16
APL APOLLO TUBES LTD,48690.4168448,1752.1,2025-08-20
APL APOLLO TUBES LTD,48690.4168448,1752.1,2025-10-01
COMPUTER AGE MNGT SER LTD,19009.6637952,3838.0,2025-07-22
COMPUTER AGE MNGT SER LTD,19009.6637952,3838.0,2025-08-22
COMPUTER AGE MNGT SER LTD,19009.6637952,3838.0,2025-09-01
COMPUTER AGE MNGT SER LTD,19009.6637952,3838.0,2025-09-09
SAMMAAN CAPITAL LIMITED,14228.4980224,175.12,2025-07-24
SAMMAAN CAPITAL LIMITED,14228.4980224,175.12,2025-09-02
BALKRISHNA IND. LTD,44685.2661248,2311.5,2025-09-16
ITC LTD,517211.7897216,412.85,2025-09-08
ITC LTD,517211.7897216,412.85,2025-10-20
ROUTE MOBILE LIMITED,4646.0719104,737.5,2025-08-26
ROUTE MOBILE LIMITED,4646.0719104,737.5,2025-09-18
CROMPT GREA CON ELEC LTD,18583.3832448,288.6,2025-08-25
DR. LAL PATH LABS LTD.,26177.7883136,3136.3,2025-09-19
CENTRAL BANK OF INDIA,35390.9768192,39.1,2025-08-21
CENTRAL BANK OF INDIA,35390.9768192,39.1,2025-09-12
EMCURE PHARMACEUTICALS L,26406.3827968,1393.0,2025-10-08
TANLA PLATFORMS LIMITED,8908.5288448,637.5,2025-08-26
TANLA PLATFORMS LIMITED,8908.5288448,637.5,2025-09-04
TANLA PLATFORMS LIMITED,8908.5288448,637.5,2025-10-10
DEEPAK FERTILIZERS & PETR,18210.4375296,1439.8,2025-09-22
SOLAR INDUSTRIES (I) LTD,127654.3238144,14107.0,2025-08-12
SOLAR INDUSTRIES (I) LTD,127654.3238144,14107.0,2025-09-17
SOLAR INDUSTRIES (I) LTD,127654.3238144,14107.0,2025-10-17
TBO TEK LIMITED,16790.1888512,1574.2,2025-08-14
TBO TEK LIMITED,16790.1888512,1574.2,2025-09-05
TBO TEK LIMITED,16790.1888512,1574.2,2025-10-21
ULTRATECH CEMENT LIMITED,363559.8589952,12342.0,2025-08-13
ULTRATECH CEMENT LIMITED,363559.8589952,12342.0,2025-10-17
FINOLEX INDUSTRIES LTD,11854.3147008,191.72,2025-07-31
FINOLEX INDUSTRIES LTD,11854.3147008,191.72,2025-08-22
ADANI TOTAL GAS LIMITED,68551.1606272,623.3,2025-08-21
ADANI TOTAL GAS LIMITED,68551.1606272,623.3,2025-09-19
IDBI BANK LIMITED,101395.1561728,94.3,2025-08-25
IDBI BANK LIMITED,101395.1561728,94.3,2025-09-10
IDBI BANK LIMITED,101395.1561728,94.3,2025-10-10
NIPPON L I A M LTD,61640.1403904,968.2,2025-08-20
NIPPON L I A M LTD,61640.1403904,968.2,2025-09-17
ASTRAL LIMITED,38863.3821184,1446.7,2025-08-26
ASTRAL LIMITED,38863.3821184,1446.7,2025-10-15
GODREJ CONSUMER PRODUCTS,115999.37536,1133.8,2025-08-22
SUN TV NETWORK LIMITED,22376.1252352,567.5,2025-07-24
SUN TV NETWORK LIMITED,22376.1252352,567.5,2025-08-19
SUN TV NETWORK LIMITED,22376.1252352,567.5,2025-10-07
HINDALCO  INDUSTRIES  LTD,175446.3338496,784.95,2025-07-25
HINDALCO  INDUSTRIES  LTD,175446.3338496,784.95,2025-08-14
STATE BANK OF INDIA,838001.5968256,907.85,2025-08-13
STATE BANK OF INDIA,838001.5968256,907.85,2025-09-15
UCO BANK,40502.7749888,32.3,2025-08-26
UCO BANK,40502.7749888,32.3,2025-09-08
AIA ENGINEERING LIMITED,31319.2480768,3356.1,2025-09-17
AIA ENGINEERING LIMITED,31319.2480768,3356.1,2025-10-01
RBL BANK LIMITED,19913.662464,324.65,2025-08-05
RBL BANK LIMITED,19913.662464,324.65,2025-09-03
TRIDENT LIMITED,14368.9728,28.2,2025-09-09
SIGNATUREGLOBAL INDIA LTD,15071.1762944,1072.6,2025-09-11
GRINDWELL NORTON LIMITED,18395.021312,1661.4,2025-08-26
GRINDWELL NORTON LIMITED,18395.021312,1661.4,2025-10-08
MAHINDRA & MAHINDRA LTD,434560.7749632,3621.2,2025-08-14
MAHINDRA & MAHINDRA LTD,434560.7749632,3621.2,2025-10-20
USHA MARTIN LTD.,14010.8824576,460.05,2025-08-22
BANK OF BARODA,139730.2099968,270.2,2025-08-14
BANK OF BARODA,139730.2099968,270.2,2025-09-17
RAJESH EXPORTS LTD,5374.6171904,182.03,2025-09-08
HDFC BANK LTD,1548195.9350272,1007.7,2025-07-23
HDFC BANK LTD,1548195.9350272,1007.7,2025-09-18
HDFC BANK LTD,1548195.9350272,1007.7,2025-10-08
VEDANT FASHIONS LIMITED,16895.238144,695.4,2025-08-22
CAN FIN HOMES LTD,11243.5347456,844.4,2025-08-20
CAN FIN HOMES LTD,11243.5347456,844.4,2025-09-17
SHREE RENUKA SUGARS LTD,6357.798912,29.87,2025-08-28
SHREE RENUKA SUGARS LTD,6357.798912,29.87,2025-09-02
COAL INDIA LTD,241024.3162112,391.1,2025-07-23
COAL INDIA LTD,241024.3162112,391.1,2025-08-12
INDIAN RENEWABLE ENERGY,43020.5698048,153.14,2025-08-25
INDIAN RENEWABLE ENERGY,43020.5698048,153.14,2025-09-10
INDIAN RENEWABLE ENERGY,43020.5698048,153.14,2025-10-20
VEDANTA LIMITED,185755.8151168,475.65,2025-08-21
GILLETTE INDIA LTD,30664.3173376,9410.5,2025-09-09
ZENSAR TECHNOLOGIES  LTD,17794.1086208,779.9,2025-08-20
ZENSAR TECHNOLOGIES  LTD,17794.1086208,779.9,2025-09-15
JK TYRE & INDUSTRIES LTD,11541.7243648,421.2,2025-08-26
JK TYRE & INDUSTRIES LTD,11541.7243648,421.2,2025-09-01
JK TYRE & INDUSTRIES LTD,11541.7243648,421.2,2025-10-09
HAPPIEST MINDS TECHNO LTD,7517.8647552,500.5,2025-09-22
SBI CARDS & PAY SER LTD,89131.4569216,936.7,2025-08-25
SBI CARDS & PAY SER LTD,89131.4569216,936.7,2025-09-11
RADICO KHAITAN LTD,44207.7052928,3302.1,2025-09-16
RADICO KHAITAN LTD,44207.7052928,3302.1,2025-10-09
TECH MAHINDRA LIMITED,128264.9882624,1448.7,2025-08-19
TECH MAHINDRA LIMITED,128264.9882624,1448.7,2025-09-15
TECH MAHINDRA LIMITED,128264.9882624,1448.7,2025-10-16
TATA INVESTMENT CORP LTD,45022.2260224,875.0,2025-07-29
TATA INVESTMENT CORP LTD,45022.2260224,875.0,2025-09-17
LINDE INDIA LIMITED,52431.0380544,6138.0,2025-09-03
JINDAL STAINLESS LIMITED,65688.4301824,797.5,2025-08-04
JINDAL STAINLESS LIMITED,65688.4301824,797.5,2025-09-23
JINDAL STAINLESS LIMITED,65688.4301824,797.5,2025-10-13
JINDAL STAINLESS LIMITED,65688.4301824,797.5,2025-10-16
TATA STEEL LIMITED,215488.5808128,172.78,2025-07-24
TATA STEEL LIMITED,215488.5808128,172.78,2025-08-26
TATA STEEL LIMITED,215488.5808128,172.78,2025-09-05
TATA STEEL LIMITED,215488.5808128,172.78,2025-10-09
SHREE CEMENT LIMITED,107154.407424,28950.0,2025-10-15
P&G HYGIENE & HEALTH CARE,45019.7946368,13869.0,2025-08-01
P&G HYGIENE & HEALTH CARE,45019.7946368,13869.0,2025-08-25
P&G HYGIENE & HEALTH CARE,45019.7946368,13869.0,2025-09-03
P&G HYGIENE & HEALTH CARE,45019.7946368,13869.0,2025-09-17
P&G HYGIENE & HEALTH CARE,45019.7946368,13869.0,2025-09-19
VIJAYA DIAGNOSTIC CEN LTD,10268.8980992,999.65,2025-09-05
MAX HEALTHCARE INS LTD,117057.2705792,1204.0,2025-07-31
MAX HEALTHCARE INS LTD,117057.2705792,1204.0,2025-10-14
CONTAINER CORP OF IND LTD,40678.0116992,534.1,2025-09-09
HCL TECHNOLOGIES LTD,402092.9298432,1486.0,2025-08-19
HCL TECHNOLOGIES LTD,402092.9298432,1486.0,2025-09-17
HCL TECHNOLOGIES LTD,402092.9298432,1486.0,2025-10-13
ADITYA BIRLA FASHION & RT,10173.5931904,83.65,2025-08-12
INDIAN RAIL TOUR CORP LTD,57539.9985152,718.0,2025-09-15
INDIAN RAIL TOUR CORP LTD,57539.9985152,718.0,2025-10-20
HSG & URBAN DEV CORPN LTD,45683.359744,228.2,2025-08-25
HSG & URBAN DEV CORPN LTD,45683.359744,228.2,2025-09-05
BATA INDIA LTD,14979.8846464,1165.5,2025-09-05
JSW INFRASTRUCTURE LTD,61991.1708672,298.05,2025-08-22
JSW INFRASTRUCTURE LTD,61991.1708672,298.05,2025-09-09
PTC INDUSTRIES LIMITED,25498.4880128,17017.0,2025-07-31
PTC INDUSTRIES LIMITED,25498.4880128,17017.0,2025-09-12
KARUR VYSYA BANK LTD,23661.2222976,244.84,2025-08-25
KARUR VYSYA BANK LTD,23661.2222976,244.84,2025-09-18
KARUR VYSYA BANK LTD,23661.2222976,244.84,2025-10-06
APAR INDUSTRIES LTD.,34895.0167552,8584.0,2025-09-12
APAR INDUSTRIES LTD.,34895.0167552,8584.0,2025-10-20
JK CEMENT LIMITED,50147.0953472,6466.0,2025-09-24
JK CEMENT LIMITED,50147.0953472,6466.0,2025-10-16
ACC LIMITED,34719.9864832,1848.9,2025-08-22
ACC LIMITED,34719.9864832,1848.9,2025-09-04
ACC LIMITED,34719.9864832,1848.9,2025-10-10
SYNGENE INTERNATIONAL LTD,25781.3528576,641.85,2025-09-15
SYNGENE INTERNATIONAL LTD,25781.3528576,641.85,2025-10-17
DLF LIMITED,191032.1709056,771.75,2025-07-22
DLF LIMITED,191032.1709056,771.75,2025-09-16
DLF LIMITED,191032.1709056,771.75,2025-10-17
QUESS CORP LIMITED,3559.4018816,238.75,2025-09-23
LARSEN & TOUBRO LTD.,534843.6475904,3888.2,2025-08-01
LARSEN & TOUBRO LTD.,534843.6475904,3888.2,2025-09-17
KOTAK MAHINDRA BANK LTD,438643.720192,2197.0,2025-08-22
KOTAK MAHINDRA BANK LTD,438643.720192,2197.0,2025-09-17
TVS MOTOR COMPANY  LTD,173626.2418432,3658.3,2025-08-05
TVS MOTOR COMPANY  LTD,173626.2418432,3658.3,2025-10-10
JINDAL STEEL LIMITED,102745.9514368,1009.8,2025-09-08
ANAND RATHI WEALTH LTD,26492.715008,3191.1,2025-10-14
ASTER DM HEALTHCARE LTD.,37370.6555392,722.95,2025-08-07
ASTER DM HEALTHCARE LTD.,37370.6555392,722.95,2025-08-13
ASTER DM HEALTHCARE LTD.,37370.6555392,722.95,2025-10-06
MMTC LIMITED,10245.0003968,68.3,2025-09-09
GENERAL INS CORP OF INDIA,67807.5629568,386.5,2025-08-05
GENERAL INS CORP OF INDIA,67807.5629568,386.5,2025-09-15
GENERAL INS CORP OF INDIA,67807.5629568,386.5,2025-10-07
BLUE STAR LIMITED,40529.969152,1963.0,2025-08-14
BLUE STAR LIMITED,40529.969152,1963.0,2025-09-19
BLUE STAR LIMITED,40529.969152,1963.0,2025-10-17
ITI LTD,32395.8571008,335.35,2025-08-14
ITI LTD,32395.8571008,335.35,2025-09-08
ITI LTD,32395.8571008,335.35,2025-10-08
UJJIVAN SMALL FINANC BANK,9733.8187776,50.24,2025-08-26
UJJIVAN SMALL FINANC BANK,9733.8187776,50.24,2025-09-09
UJJIVAN SMALL FINANC BANK,9733.8187776,50.24,2025-10-01
BIRLASOFT LIMITED,9777.5476736,351.05,2025-09-09
G R INFRAPROJECTS LIMITED,11451.1249408,1174.7,2025-08-19
UNION BANK OF INDIA,108137.6571392,141.66,2025-08-18
UNION BANK OF INDIA,108137.6571392,141.66,2025-09-16
RAINBOW CHILDRENS MED LTD,13812.0445952,1360.0,2025-07-30
RAINBOW CHILDRENS MED LTD,13812.0445952,1360.0,2025-08-19
GUJARAT AMBUJA EXPORTS LT,4971.9898112,107.34,2025-07-23
GUJARAT AMBUJA EXPORTS LT,4971.9898112,107.34,2025-09-04
TATA MOTORS LIMITED,147974.4946176,401.85,2025-07-29
TATA MOTORS LIMITED,147974.4946176,401.85,2025-08-20
TATA MOTORS LIMITED,147974.4946176,401.85,2025-10-10
JK LAKSHMI CEMENT LTD,10456.6849536,842.3,2025-08-26
JK LAKSHMI CEMENT LTD,10456.6849536,842.3,2025-09-02
GUJ NAR VAL FER & CHEM L,7332.3405312,499.0,2025-08-26
THE PHOENIX MILLS LTD,60306.1551104,1651.8,2025-08-21
THE PHOENIX MILLS LTD,60306.1551104,1651.8,2025-10-10
SUPREME INDUSTRIES LTD,53445.91872,4190.4,2025-07-30
SUPREME INDUSTRIES LTD,53445.91872,4190.4,2025-08-18
TITAN COMPANY LIMITED,330779.1712256,3729.0,2025-08-12
TITAN COMPANY LIMITED,330779.1712256,3729.0,2025-10-10
EXIDE INDUSTRIES LTD,34059.501568,399.35,2025-07-22
EXIDE INDUSTRIES LTD,34059.501568,399.35,2025-08-05
EXIDE INDUSTRIES LTD,34059.501568,399.35,2025-08-21
JUPITER WAGONS LIMITED,13726.1449216,323.35,2025-09-15
JUPITER WAGONS LIMITED,13726.1449216,323.35,2025-10-03
DATA PATTERNS INDIA LTD,15910.6433024,2842.0,2025-09-10
DATA PATTERNS INDIA LTD,15910.6433024,2842.0,2025-10-09
SHIPPING CORP OF INDIA LT,10789.7683968,231.64,2025-08-22
PNC INFRATECH LTD.,7392.1757184,287.0,2025-08-22
PNC INFRATECH LTD.,7392.1757184,287.0,2025-09-19
KANSAI NEROLAC PAINTS LTD,20766.6577408,256.85,2025-09-03
KANSAI NEROLAC PAINTS LTD,20766.6577408,256.85,2025-10-03
KANSAI NEROLAC PAINTS LTD,20766.6577408,256.85,2025-10-20
SBFC FINANCE LIMITED,12651.0104576,115.8,2025-08-21
SBFC FINANCE LIMITED,12651.0104576,115.8,2025-09-22
SBFC FINANCE LIMITED,12651.0104576,115.8,2025-10-21
SOBHA LIMITED,16509.2786176,1544.2,2025-09-15
ARCHEAN CHEMICAL IND LTD,8125.2442112,652.85,2025-08-19
SUNDARAM FINANCE LTD,50110.562304,4546.7,2025-08-21
SUNDARAM FINANCE LTD,50110.562304,4546.7,2025-09-23
SUNDARAM FINANCE LTD,50110.562304,4546.7,2025-10-21
INDIAN RAILWAY FIN CORP L,163617.6887808,125.2,2025-09-10
TATA CONSULTANCY SERV LT,1087850.3092224,3006.7,2025-08-25
TATA CONSULTANCY SERV LT,1087850.3092224,3006.7,2025-09-16
TATA CONSULTANCY SERV LT,1087850.3092224,3006.7,2025-10-17
AMARA RAJA ENERGY MOB LTD,18245.7991168,996.9,2025-08-21
CELLO WORLD LIMITED,13581.1162112,614.85,2025-09-04
CELLO WORLD LIMITED,13581.1162112,614.85,2025-10-15
RATNAMANI MET & TUB LTD.,16761.4496768,2357.9,2025-09-01
RATNAMANI MET & TUB LTD.,16761.4496768,2357.9,2025-09-18
YES BANK LIMITED,71377.747968,22.75,2025-08-22
THERMAX LTD,36262.3762432,3219.1,2025-09-08
HINDUSTAN ZINC LIMITED,211287.0678528,483.85,2025-07-24
HINDUSTAN ZINC LIMITED,211287.0678528,483.85,2025-08-22
COCHIN SHIPYARD LIMITED,47586.0533248,1808.8,2025-09-09
COCHIN SHIPYARD LIMITED,47586.0533248,1808.8,2025-09-16
BALRAMPUR CHINI MILLS LTD,9465.1129856,468.7,2025-08-25
CRISIL LTD,36242.5024512,4955.9,2025-08-22
CRISIL LTD,36242.5024512,4955.9,2025-10-20
BERGER PAINTS (I) LTD,63471.3145344,541.4,2025-08-06
BERGER PAINTS (I) LTD,63471.3145344,541.4,2025-09-08
BERGER PAINTS (I) LTD,63471.3145344,541.4,2025-10-10
AAVAS FINANCIERS LIMITED,12829.773824,1620.6,2025-09-15
AAVAS FINANCIERS LIMITED,12829.773824,1620.6,2025-10-08
UTI ASSET MNGMT CO LTD,17990.238208,1340.7,2025-08-20
UTI ASSET MNGMT CO LTD,17990.238208,1340.7,2025-09-17
UTI ASSET MNGMT CO LTD,17990.238208,1340.7,2025-10-17
REC LIMITED,99312.041984,377.15,2025-09-15
KALYAN JEWELLERS IND LTD,50811.912192,492.1,2025-09-17
KALYAN JEWELLERS IND LTD,50811.912192,492.1,2025-10-20
FIRSTSOURCE SOLU. LTD.,22576.7702528,321.8,2025-08-08
FIRSTSOURCE SOLU. LTD.,22576.7702528,321.8,2025-09-17
RAYMOND LTD,3872.294912,581.85,2025-09-17
AXIS BANK LIMITED,383930.7546624,1237.3,2025-08-21
AXIS BANK LIMITED,383930.7546624,1237.3,2025-09-12
RATTANINDIA ENT LIMITED,7115.71456,50.97,2025-08-26
BANK OF INDIA,59303.0479872,130.26,2025-08-18
BANK OF INDIA,59303.0479872,130.26,2025-09-11
WELSPUN LIVING LIMITED,11709.6103936,122.53,2025-09-11
WELSPUN LIVING LIMITED,11709.6103936,122.53,2025-10-15
SJVN LTD,35391.73376,89.79,2025-07-24
SJVN LTD,35391.73376,89.79,2025-08-21
SJVN LTD,35391.73376,89.79,2025-09-24
KSB LIMITED,14087.6038144,809.45,2025-09-02
CENTURY PLYBOARDS (I) LTD,16674.0819968,747.25,2025-07-29
CENTURY PLYBOARDS (I) LTD,16674.0819968,747.25,2025-08-19
CENTURY PLYBOARDS (I) LTD,16674.0819968,747.25,2025-08-21
CENTURY PLYBOARDS (I) LTD,16674.0819968,747.25,2025-09-01
CENTURY PLYBOARDS (I) LTD,16674.0819968,747.25,2025-10-08
J & K BANK LTD.,11815.6877824,107.3,2025-08-21
J & K BANK LTD.,11815.6877824,107.3,2025-09-18
CAMPUS ACTIVEWEAR LIMITED,8617.3704192,282.1,2025-08-26
CAMPUS ACTIVEWEAR LIMITED,8617.3704192,282.1,2025-10-09
SUZLON ENERGY LIMITED,74279.7737984,54.18,2025-08-11
SUZLON ENERGY LIMITED,74279.7737984,54.18,2025-09-18
MAX FINANCIAL SERV LTD,53392.7067648,1540.8,2025-08-13
MAX FINANCIAL SERV LTD,53392.7067648,1540.8,2025-10-03
BHARAT ELECTRONICS LTD,305329.471488,417.7,2025-09-11
CIE AUTOMOTIVE INDIA LTD,16435.8750208,433.25,2025-09-09
CIE AUTOMOTIVE INDIA LTD,16435.8750208,433.25,2025-10-20
POWER FIN CORP LTD.,131492.5576192,398.45,2025-08-19
POWER FIN CORP LTD.,131492.5576192,398.45,2025-09-15
PIRAMAL PHARMA LIMITED,26089.4539776,197.28,2025-09-05
NESTLE INDIA LIMITED,248656.1406976,1287.3,2025-08-21
NESTLE INDIA LIMITED,248656.1406976,1287.3,2025-10-14
POONAWALLA FINCORP LTD,42487.48032,514.9,2025-08-12
POONAWALLA FINCORP LTD,42487.48032,514.9,2025-09-18
GLAXOSMITHKLINE PHARMA LT,46735.736832,2758.8,2025-09-02
GLAXOSMITHKLINE PHARMA LT,46735.736832,2758.8,2025-10-13
TVS SUPPLY CHAIN SOL L,5602.1041152,126.98,2025-08-18
TVS SUPPLY CHAIN SOL L,5602.1041152,126.98,2025-09-09
NTPC LTD,331626.0012032,342.0,2025-08-18
NTPC LTD,331626.0012032,342.0,2025-09-18
NTPC LTD,331626.0012032,342.0,2025-10-20
NBCC (INDIA) LIMITED,30434.4006656,112.72,2025-09-11
ASHOK LEYLAND LTD,80025.3935616,136.24,2025-08-19
FSN E COMMERCE VENTURES,74736.6055936,256.86,2025-08-20
FSN E COMMERCE VENTURES,74736.6055936,256.86,2025-10-07
L&T TECHNOLOGY SER. LTD.,44523.2119808,4204.9,2025-08-25
L&T TECHNOLOGY SER. LTD.,44523.2119808,4204.9,2025-09-18
L&T TECHNOLOGY SER. LTD.,44523.2119808,4204.9,2025-10-09
THE NEW INDIA ASSU CO LTD,30926.3695872,187.66,2025-08-01
THE NEW INDIA ASSU CO LTD,30926.3695872,187.66,2025-09-18
CAPRI GLOBAL CAPITAL LTD,18606.678016,193.49,2025-09-09
CAPRI GLOBAL CAPITAL LTD,18606.678016,193.49,2025-09-19
CAPRI GLOBAL CAPITAL LTD,18606.678016,193.49,2025-10-10
CAPRI GLOBAL CAPITAL LTD,18606.678016,193.49,2025-10-15
LIC HOUSING FINANCE LTD,31554.3650304,573.65,2025-09-15
AARTI INDUSTRIES LTD,13600.8957952,375.1,2025-09-03
AARTI INDUSTRIES LTD,13600.8957952,375.1,2025-09-08
SAMVRDHNA MTHRSN INTL LTD,111212.167168,105.37,2025-08-26
SAMVRDHNA MTHRSN INTL LTD,111212.167168,105.37,2025-09-05
ALOK INDUSTRIES LIMITED,8609.726464,17.34,2025-09-09
KNR CONSTRU LTD.,5367.3623552,190.85,2025-09-18
IIFL FINANCE LIMITED,21240.2274304,499.65,2025-09-19
IIFL FINANCE LIMITED,21240.2274304,499.65,2025-10-06
INFO EDGE (I) LTD,85998.14144,1317.0,2025-07-29
INFO EDGE (I) LTD,85998.14144,1317.0,2025-08-25
INFO EDGE (I) LTD,85998.14144,1317.0,2025-09-22
GUJ STATE FERT & CHEM LTD,7657.5424512,192.17,2025-08-06
GUJ STATE FERT & CHEM LTD,7657.5424512,192.17,2025-09-05
VODAFONE IDEA LIMITED,97508.7337472,9.0,2025-08-26
VODAFONE IDEA LIMITED,97508.7337472,9.0,2025-09-08
SCHAEFFLER INDIA LIMITED,61394.5114624,3927.9,2025-09-15
KALPATARU PROJECT INT LTD,21664.2043904,1268.6,2025-08-13
KALPATARU PROJECT INT LTD,21664.2043904,1268.6,2025-09-11
KALPATARU PROJECT INT LTD,21664.2043904,1268.6,2025-10-15
GUJARAT MINERAL DEV CORP,18591.8701568,584.65,2025-07-22
GUJARAT MINERAL DEV CORP,18591.8701568,584.65,2025-08-19
OBEROI REALTY LIMITED,61821.4719488,1699.0,2025-08-22
OBEROI REALTY LIMITED,61821.4719488,1699.0,2025-09-19
OBEROI REALTY LIMITED,61821.4719488,1699.0,2025-10-20
TITAGARH RAIL SYSTEMS LTD,11869.4715392,881.35,2025-08-26
INOX WIND LIMITED,25776.6653952,149.15,2025-09-08
INOX WIND LIMITED,25776.6653952,149.15,2025-10-15
INDRAPRASTHA GAS LTD,29134.0353536,207.42,2025-08-21
INDRAPRASTHA GAS LTD,29134.0353536,207.42,2025-10-08
SONATA SOFTWARE LTD,10186.3612416,363.4,2025-08-26
SONATA SOFTWARE LTD,10186.3612416,363.4,2025-09-11
SONATA SOFTWARE LTD,10186.3612416,363.4,2025-10-16
HINDUSTAN COPPER LTD,33488.0407552,346.3,2025-09-08
ADANI ENTERPRISES LIMITED,294304.5337088,2549.9,2025-09-11
INDIAN OVERSEAS BANK,78316.5554688,40.67,2025-08-22
INDIAN OVERSEAS BANK,78316.5554688,40.67,2025-10-17
RITES LIMITED,11933.3920768,248.28,2025-08-25
RITES LIMITED,11933.3920768,248.28,2025-09-03
AU SMALL FINANCE BANK LTD,64187.1970304,861.35,2025-08-19
AU SMALL FINANCE BANK LTD,64187.1970304,861.35,2025-09-23
EASY TRIP PLANNERS LTD,2945.8511872,8.1,2025-09-19
DELHIVERY LIMITED,35629.449216,476.55,2025-09-18
DELHIVERY LIMITED,35629.449216,476.55,2025-10-13
SUN PHARMA ADV.RES.CO.LTD,4277.194752,131.8,2025-09-09
SUN PHARMA ADV.RES.CO.LTD,4277.194752,131.8,2025-09-18
SWAN ENERGY LIMITED,14943.207424,460.9,2025-08-25
RELIANCE INDUSTRIES LTD,1982777.7339392,1465.2,2025-08-21
RELIANCE INDUSTRIES LTD,1982777.7339392,1465.2,2025-09-16
RELIANCE INDUSTRIES LTD,1982777.7339392,1465.2,2025-10-17
KEI INDUSTRIES LTD.,39614.971904,4143.8,2025-08-21
KEI INDUSTRIES LTD.,39614.971904,4143.8,2025-10-09
TATA COMMUNICATIONS LTD,54977.9275776,1915.3,2025-09-16
TATA COMMUNICATIONS LTD,54977.9275776,1915.3,2025-10-09
HINDUSTAN AERONAUTICS LTD,326388.9670144,4858.2,2025-09-10
HINDUSTAN AERONAUTICS LTD,326388.9670144,4858.2,2025-10-17
BASF INDIA LTD,19633.0684416,4535.7,2025-09-03
BASF INDIA LTD,19633.0684416,4535.7,2025-10-09
IRB INFRA DEV LTD.,26106.5965568,43.23,2025-09-19
IRB INFRA DEV LTD.,26106.5965568,43.23,2025-10-16
JM FINANCIAL LIMITED,16397.1940352,170.9,2025-08-14
JM FINANCIAL LIMITED,16397.1940352,170.9,2025-10-10
BOMBAY BURMAH TRADING COR,14349.9870208,2056.7,2025-09-09
BOMBAY BURMAH TRADING COR,14349.9870208,2056.7,2025-10-14
BEML LIMITED,18388.5447168,4395.9,2025-07-22
BEML LIMITED,18388.5447168,4395.9,2025-08-21
BEML LIMITED,18388.5447168,4395.9,2025-09-08
BEML LIMITED,18388.5447168,4395.9,2025-10-09
INFOSYS LIMITED,610355.4326528,1472.4,2025-08-25
INFOSYS LIMITED,610355.4326528,1472.4,2025-10-14
360 ONE WAM LIMITED,47575.5446272,1175.4,2025-08-22
360 ONE WAM LIMITED,47575.5446272,1175.4,2025-09-16
360 ONE WAM LIMITED,47575.5446272,1175.4,2025-10-09
CYIENT LIMITED,13137.1982848,1190.7,2025-08-25
CYIENT LIMITED,13137.1982848,1190.7,2025-09-15
HFCL LIMITED,11134.263296,77.21,2025-09-16
HFCL LIMITED,11134.263296,77.21,2025-10-13
HFCL LIMITED,11134.263296,77.21,2025-10-15
AEGIS LOGISTICS LIMITED,28246.7270656,802.65,2025-07-25
AEGIS LOGISTICS LIMITED,28246.7270656,802.65,2025-08-28
AEGIS LOGISTICS LIMITED,28246.7270656,802.65,2025-09-15
PRESTIGE ESTATE LTD,73801.3216768,1713.4,2025-08-25
PRESTIGE ESTATE LTD,73801.3216768,1713.4,2025-09-18
PRESTIGE ESTATE LTD,73801.3216768,1713.4,2025-10-15
RAILTEL CORP OF IND LTD,11892.3722752,370.55,2025-09-10
ESCORTS KUBOTA LIMITED,40749.95712,3703.7,2025-08-19
ESCORTS KUBOTA LIMITED,40749.95712,3703.7,2025-10-16
PATANJALI FOODS LIMITED,64209.05984,588.7,2025-09-08
ICICI BANK LTD.,1026437.9392,1382.0,2025-07-22
ICICI BANK LTD.,1026437.9392,1382.0,2025-09-18
ICICI BANK LTD.,1026437.9392,1382.0,2025-10-16
MAHINDRA LIFESPACE DEVLTD,8362.6377216,392.1,2025-09-03
MAHINDRA LIFESPACE DEVLTD,8362.6377216,392.1,2025-10-16
TECHNO ELEC & ENG CO. LTD,15784.1784832,1357.2,2025-08-20
LLOYDS METALS N ENERGY L,71087.7577216,1350.6,2025-07-29
LLOYDS METALS N ENERGY L,71087.7577216,1350.6,2025-09-22
LLOYDS METALS N ENERGY L,71087.7577216,1350.6,2025-10-10
VINATI ORGANICS LTD,17564.0674304,1693.5,2025-09-02
VINATI ORGANICS LTD,17564.0674304,1693.5,2025-09-17
GMR AIRPORTS LIMITED,97153.1419648,92.01,2025-09-16
GMR AIRPORTS LIMITED,97153.1419648,92.01,2025-10-16
PCBL CHEMICAL LIMITED,13901.94688,368.3,2025-09-10
MPHASIS LIMITED,52144.3377152,2740.7,2025-08-20
MPHASIS LIMITED,52144.3377152,2740.7,2025-10-21
